V1	V2	V3	Iv1	Time
1	0.00107029	2.40626e-07	-0.00224759	0
1	0.00213948	1.20245e-06	-0.00674037	4.5e-06
1	0.00213842	3.1242e-06	-0.0112307	9e-06
1	0.00213856	6.00353e-06	-0.0157211	1.35e-05
1	0.00213874	9.8379e-06	-0.0202115	1.8e-05
1	0.00213897	1.46244e-05	-0.0247019	2.25e-05
1	0.00213924	2.03597e-05	-0.0291922	2.7e-05
1	0.00213956	2.70401e-05	-0.0336826	3.15e-05
1	0.00213992	3.46615e-05	-0.038173	3.6e-05
1	0.00214033	4.32193e-05	-0.0426634	4.05e-05
1	0.00214078	5.27086e-05	-0.0471537	4.5e-05
1	0.00214128	6.31241e-05	-0.0516441	4.95e-05
1	0.00214181	7.44601e-05	-0.0561345	5.4e-05
1	0.0021424	8.67105e-05	-0.0606248	5.85e-05
1	0.00214302	9.98689e-05	-0.0651152	6.3e-05
1	0.00214369	0.000113928	-0.0696055	6.75e-05
1	0.0021444	0.000128882	-0.0740959	7.2e-05
1	0.00214515	0.000144721	-0.0785862	7.65e-05
1	0.00214595	0.000161439	-0.0830766	8.1e-05
1	0.00214678	0.000179027	-0.0875669	8.55e-05
1	0.00214766	0.000197476	-0.0920573	9e-05
1	0.00214858	0.000216777	-0.0965476	9.45e-05
1	0.00214953	0.000236922	-0.101038	9.9e-05
1	0.00215053	0.000257899	-0.105528	0.0001035
1	0.00215157	0.000279699	-0.110019	0.000108
1	0.00215264	0.000302312	-0.114509	0.0001125
1	0.00215375	0.000325726	-0.118999	0.000117
1	0.0021549	0.000349931	-0.123489	0.0001215
1	0.00215609	0.000374915	-0.12798	0.000126
1	0.00215732	0.000400667	-0.13247	0.0001305
1	0.00215857	0.000427174	-0.13696	0.000135
1	0.00215987	0.000454424	-0.141451	0.0001395
1	0.0021612	0.000482405	-0.145941	0.000144
1	0.00216256	0.000511103	-0.150431	0.0001485
1	0.00216396	0.000540505	-0.154921	0.000153
1	0.00216539	0.000570598	-0.159412	0.0001575
1	0.00216685	0.000601368	-0.163902	0.000162
1	0.00216835	0.0006328	-0.168392	0.0001665
1	0.00216987	0.000664881	-0.172882	0.000171
1	0.00217142	0.000697595	-0.177373	0.0001755
1	0.00217301	0.000730929	-0.181863	0.00018
1	0.00217462	0.000764866	-0.186353	0.0001845
1	0.00217626	0.000799392	-0.190843	0.000189
1	0.00217793	0.000834491	-0.195334	0.0001935
1	0.00217962	0.000870146	-0.199824	0.000198
1	0.00218134	0.000906343	-0.204314	0.0002025
1	0.00218309	0.000943065	-0.208804	0.000207
1	0.00218486	0.000980295	-0.213294	0.0002115
1	0.00218665	0.00101802	-0.217784	0.000216
